Hyponym;Hypernym
Jaunish ;Yellow 
Punical;Red
Plunket;Red
Vermilion;Red
Smalt-blue;Blue
Orange-buff;Orange
Daw;Yellow
Rhubarb;Red
Scarlet;Red
WAN;Yellow
Beryl;Green
Scale-blue;Blue
Mauve-colour;Purple
Leasih;Red
Puce-coloured;Purple
Minious;Red
Red-coloured;Red
Cinnamon;Brown
Fleeten;Yellow
Reddy-brown;Brown
Well-blacked;Black
Rubriform;Red
Cerulean;Blue
Purpurine;Purple
Dove;Gray
Maize-coloured;Yellow
Water;Blue
Bluey;Blue
Plumbeous;Gray
Azurne;Blue
Flame-red;Red
Black-coloured;Black
Red-orange;Red
Olive-coloured;Green
Crane-coloured;Gray
Unblacked;Black
Piceous;Black
Erubescent;Red
Nasturtium-yellow;Yellow
Primrose;Yellow
Vinous;Red
Ethiop;Brown
Cottonary;Brown
Atramentarious;Black
Xanthophyllic;Yellow
Buff;Yellow
Cottony;White
Rose-red;Pink
Claret-coloured;Red
Azury;Blue
Atramental;Black
Lily-coloured;White
Blank;White
Sootied;Black
Weaselled-coloured;Brown
Green;Green
Smoky;Gray
Sage-greeny;Green
Grizzle;Gray
Chestnut-coloured;Brown
Blackleaded;Black
Dust-coloured;Brown
Deer-coloured;Brown
Nacarine;Brown
Maroon;Red
Violetish;Purple
Greenable;Green
Pearl-coloured;White
Rhubarby;Red
Coffee-coloured;Brown
Blushful;Pink
Milky;White
Lilac-tinted;Purple
Bomycinous;White
Lactean;White
Butter-coloured;Yellow
Pink-washed;Pink
Cyaneous;Blue
Lemon-coloured;Yellow
Pewter;Gray
Primrosy;Yellow
Indigo-blue;Blue
Hennaed;Red
Porphyrous;Purple
Flammeous;Red
Orange-coloured;Orange
Walnyed;Yellow
Rose;Pink
Metallic;Gray
Mustard-coloured;Yellow
Corbeau;Black
Lilacky;Pink
Rubric;Red
Verdurant;Green
Laky;Green
Browning;Brown
Paper-white;White
Verditer;Green
Blacked-edged;Black
Hyacinthine;Purple
Rose-tinted;Pink
Grisy;Gray
Blush-tinted;Pink
Glaucous;Blue
Bronzy;Brown
Redly;Red
Ustulate;Black
Sapphire-blue;Blue
Blae;Blue
Picescent;Brown
Mastic;Brown
Miniatous;Red
Saffred;Yellow
Greeny;Green
Rubricated;Red
Sand-coloured;Yellow
Black-bordered;Black
Oyster;Gray
Stone;Gray
Greening;Green
Palew;Gray
Purpureal;Purple
Sahara;Yellow
Lily-green;Green
Bayed;Brown
Pontifical;Red
Bronzing;Brown
Alizarin;Red
Dun;Brown
Salmon-coloured;Pink
Buffish;Yellow
Chelidonian;Yellow
Embrowning;Brown
Straw-coloured;Yellow
Raven;Black
Chlorine;Green
Aurelian;Yellow
Orient;Yellow
Glaucy;Green
Sanguineous;Red
Murrey;Brown
Brownish-red;Red
Fire-swart;Red
Cocoa;Brown
Peach;Pink
Pukish;Red
Rubicund;Red
Gosling-green;Green
Atramentous;Black
Mousy;Brown
Turquoise;Blue
Ruddy;Red
Atramentaceous;Black
Lilac-purple;Purple
Violaceous;Purple
Wedgwood;Blue
Lavender-brown;Brown
Night-blue;Blue
Reseda;Green
Prison-grey;Gray
Rouge;Red
Roseal;Pink
Puniceous;Red
Reddy;Red
Argenteous;White
Incarnation;Red
Leaden-coloured;Gray
Ficelle-coloured;Yellow
Indigotic;Blue
Lint-white;White
Yellowing;Yellow
White;White
Azured;Blue
Saffroned;Yellow
Canvas;Yellow
Sorrel;Brown
Rubricate;Red
Magnolia-pink;Pink
Haematine;Red
Blood-red;Red
Ruby-red;Red
Damson;Purple
Russetish;Brown
Sage-coloured;Green
Pelagian;Brown
Russety;Brown
Hyacinth;Purple
Silvery;Gray
Testaceous;Brown
Chocolate;Brown
Dunnish;Brown
Plumbean;Purple
Bronzed;Brown
Pomegranate;Red
Bone-coloured;White
Peacock;Blue
Steely;Gray
Leek-green;Green
Slaty-blue;Blue
Drab-coloured;Brown
Flaxy;Yellow
Greenish;Green
Plumby;Purple
Bloody;Red
Drab;Brown
Sludgy;Brown
Flammad;Red
Wax-red;Red
Fulvescent;Yellow
Bone-white;White
Slatish;Gray
Fusk;Brown
Ermine;White
Rosal;Pink
Shadow-grey;Gray
Oatmeal;Brown
Cerulific;Blue
For-black;Black
Cinnamon-coloured;Brown
Violet-coloured;Purple
Terra-cotta;Red
Lily-whited;White
Lilac-pink;Pink
Grisard;Gray
Khaki;Green
Greige;Gray
Beaver-hued;Brown
Browned;Brown
Emerald-green;Green
Sand-red;Red
Blackened;Black
Carnationed;Pink
Bible-black;Black
Taupe;Brown
Ivories;White
Straw-yellow;Yellow
Chlorophyllous;Green
Rubific;Red
Aurulent;Yellow
Jetty-black;Black
Cherry-coloured;Red
Sinople;Green
Nixious;Brown
Cupreous;Brown
Red-making;Red
Ivory;White
Port-winey;Red
Seal-brown;Brown
Reddish-brown;Brown
Ochreous;Yellow
Rusted;Red
For-hoar;Brown
Azure-blue;Blue
Buff-colour;Yellow
Turner;Yellow
Watchet-hued;Blue
Steel-green;Green
Tyrian;Purple
Flammulated;Red
Wheaten;Yellow
Snow-like;White
Damask;Red
Pullous;Red
Ermined;White
Madder;Red
Steel;Gray
Umber;Brown
Watercoloured;Blue
Fuliginated;Black
Orange;Orange
Browning;Brown
Bronze;Brown
Brunneous;Red
Sapphired;Blue
Blusih;Blue
Incarnation;Red
Sherry-coloured;Red
Rubiginous;Red
Lilac-coloured;Purple
Tabac;Brown
Copper;Brown
Bottle-green;Green
Lactescent;White
Incandent;White
Silver-coloured;White
Strawberry;Pink
Ensanguined;Red
Fleshy;Red
Nasturtium-red;Red
Ceruleal;Blue
Lead-grey;Gray
Rubious;Red
Self-black;Black
Festucine;Green
Russeted;Brown
Greenery-yallery;Yellow
Mole-grey;Gray
Mushroom-coloured;Brown
Pitchy;Black
Greyish-yellow;Yellow
Flax;Yellow
Smaragdine;Green
Fallow-coloured;Brown
Lily;White
Guinea-gold;Yellow
Murrey-coloured;Red
Jade-green;Green
Foxy;Brown
Puce;Purple
Blue-black;Black
Berylline;Green
Ruddyish;Red
Snuff-coloured;Brown
Mahogany-brown;Brown
Coaly;Black
Gory;Red
Reddened;Red
Bricky;Red
Inkish;Black
Wheat-coloured;Yellow
Chalky;Gray
Dunned;Brown
Wave-green;Green
Rubricked;Red
Copper-brown;Brown
Jettish;Black
Blunket;Brown
Brown;Brown
Rufous;Red
Brazil;Brown
Blue-green;Green
Ianthine;Purple
Virid;Green
Snowy;White
Pit-black;Black
Punic;Red
Oysterous;Gray
Dove;Gray
Bluish-green;Green
Lemon;Yellow
Violescent;Purple
Cream-coloured;White
Brown-black;Brown
Corn-coloured;Yellow
Purpled;Purple
Ice-white;White
Grenat;Red
Pitch-coloured;Black
Lamp-blacked;Black
Crane;Gray
Fusky;Brown
Orangish;Orange
Honey-yellow;Yellow
Lacteous;White
Gris;Gray
Sloe-blue;Blue
Scarleted;Red
Griseous;Gray
Blush-white;Pink
Cream;White
Brick-coloured;Red
Tony;Brown
Red;Red
Nigrific;Black
Pimiento;Red
Ablush;Pink
Hyacinthian;Purple
Wine;Red
Blue-washed;Blue
Chalcanthous;Blue
Flushy;Red
Tea-rose;Pink
Prasine;Green
Sanguinaceous;Red
Sapphiric;Blue
Liver-coloured;Brown
Fusco-testaceous;Brown
Cinnabrian;Red
Viridescent;Green
Blok;Brown
All-white;White
Sloe-black;Black
Copper-coloured;Brown
Rosy-fingered;Pink
Miniaceous;Red
Aeneous;Green
Vernant;Green
Steel-blue;Blue
Vinaceous;Red
Coral;Pink
Columbe;Brown
Lilac-blue;Purple
Waterish;Blue
Ochraceous;Yellow
Raven-coloured;Black
Sulphury;Yellow
Dunny;Brown
Aquamarine;Blue
Palatinate;Red
Milken;White
Purpured;Purple
Night-black;Black
Tangerine-coloured;Orange
Emeraldine;Green
Olive-greenish;Green
Silver-white;White
Raddled;Red
Nigritudinous;Black
Rufulous;Red
Sap-green;Green
Nutmeg;Brown
Swart;Black
Copperish;Brown
Olivaceous;Green
Peach-coloured;Pink
Jet-black;Black
Carbuncly;Red
Blood-coloured;Red
Marigold;Yellow
Night-dark;Black
Pepperminty;Green
Glandaceous;Green
Watchet;Blue
Goldy;Yellow
Gilded;Yellow
Sanded;Yellow
Flaxen;Yellow
Russeting;Brown
Yellow;Yellow
Croceous;Yellow
Salmony;Pink
Blue-bleak;Blue
Mauve-coloured;Purple
Black-rimmed;Black
Saffrony;Yellow
Saffronic;Yellow
Hazel;Brown
Reddish;Red
Rush;red
Honey-gold;Yellow
Purpure;Purple
Incarmined;Red
Tilleul;Green
Argentine;Green
Rufescent;Red
Lactaceous;White
Purple-red;Purple
Violety;Purple
Brazen;Red
Fox-red;Red
Saffron-coloured;Yellow
Marmoreal;White
Straw-pale;Yellow
Primrose-coloured;Yellow
Cherry-red;Red
Burnt-corked;Brown
Carnation;Pink
Orangey;Orange
Sea-green;Green
Blake;Black
Well-browned;Brown
Nigricanting;Black
Black;Black
Bone;White
Haw;Yellow
Sky-like;Blue
Sapphirine;Blue
Tuly;Black
All-black;Black
Umbery;Brown
Leaden-hued;Gray
Burnt-coloured;Brown
Carmine;Red
Peppery;Red
Safari;Brown
Blue-grey;Blue
Pinko-grey;Pink
Bayard;Brown
Natural-coloured;Brown
Ochreish;Yellow
Silurian;Gray
Eruginary;Brown
Stramineous;Yellow
Porphyrite;Red
Berry-brown;Brown
Honey-brown;Brown
Slate-grey;Gray
Pansy-coloured;Purple
Bay-brown;Brown
Gentian;Purple
Miniate;Red
Mulberry-coloured;Purple
Jaune;Yellow
Sulphureous;Yellow
Goldish;Yellow
Jet;Black
Gaudy-green;Green
Desert-grey;Gray
Inky;Black
Chlorophyllaceous;Green
Snuffy;Brown
Milkish;White
Gull;Gray
Encrimsoned;Red
Sable;Black
Reod;Red
Tuscan;Brown
Purpurate;Purple
Gingerish;Brown
Ochre-brown;Brown
Rubrical;Red
Castaneous;Brown
Wool-white;White
Brown;Brown
Canellia-red;Red
Cramoisy;Red
Bayard;Brown
Snow;White
Whitelike;White
Buff-yellow;Yellow
Luteous;Yellow
Crotal;Yellow
Pimento;Red
Buff-coloured;Yellow
Salmon;Pink
Fulvous;Yellow
Apple-yellow;Yellow
Branlie;Yellow
Flaxenish;Yellow
Olivescent;Green
Amarantine;Red
Raspberry;Red
Browny-grey;Brown
Schistous;Brown
Geranium-coloured;Red
Toast-coloured;Brown
Aureal;Yellow
Rust-coloured;Red
Hoarsih;Brown
Bluish-grey;Blue
Mahogany-red;Red
Rose-like;Pink
Engored;Red
Viper-green;Green
Hoary;Gray
Envermeiled;Red
Ash-colour;Gray
Putty-coloured;Brown
Pink;Pink
Sulphur-coloured;Yellow
Blacked;Black
Flesh-coloured;Pink
Lavender-grey;Gray
Nigricant;Black
Croceal;Yellow
Coral-red;Red
Pearly;White
Cerule;Blue
Petunia;Purple
Milk;White
Lacteal;White
Wax-white;White
Brownish-coloured;Brown
Bluish-purple;Purple
Gold-coloured;Yellow
Rubified;Red
Champagne;Yellow
Smoke-blue;Blue
Brass-coloured;Yellow
Lead-brown;Brown
Bice;Blue
Geraniumed;Red
Grey;Gray
Adusted;Gray
Mulberry;Purple
Sienna-brown;Brown
Flave;Yellow
Blackish;Black
Purply;Purple
Goldly;Yellow
Viridian;Green
Rubifying;Red
Gunpowder;Gray
Pinky;Pink
Brownish-black;Black
Chalk-white;White
Whitey-brown;Brown
Rosied;Pink
Albid;White
Guly;Yellow
Fulve;Yellow
Virideous;Green
Bletchy;Brown
Lily-wristed;White
Incarnate;Red
Brickish;Red
Pallet;Yellow
Virent;Green
Brickdusty;Brown
Greying;Gray
Marmorean;White
Crane;Gray
Navy;Blue
Silver;Gray
Peachy;Pink
Pactolian;Green
Blayk;Black
Gridelin;Green
Pistachio;Green
Champagne;Yellow
Negro;Black
Ruddish;Red
Bullace-bay;Brown
Beveren;Green
Prune-coloured;Purple
Lurid;Red
Staneraw;Brown
Shammy;Brown
Rubied;Red
Neutral;Gray
Verdigrisy;Green
Nigrescent;Black
Plumbine;Purple
Sandy;Brown
Buff-washed;Yellow
Grizzly;Gray
Rosaceous;Pink
Sunshine-yellow;Yellow
Rusty;Red
Bombasic;Brown
Chocolate-coloured;Brown
Crane-feather;Gray
Gambogian;Yellow
Ivorine;White
Leaden;Gray
Sored;Red
Gamboge;Yellow
Ruddied;Red
Fuscescent;Red
Sherry-bay;Red
Lateritious;Brown
Forswarted;Brown
Flinty;Gray
Sherry-yellow;Yellow
Sulphur-yellow;Yellow
Peppermint;Green
Toffee-brown;Brown
Golden;Yellow
Parchment;Yellow
Malachite;Green
Greyish;Gray
Flesh-pink;Pink
Palatinate;Red
Beige-coloured;Brown
Yellowish;Yellow
Verd-asure;Green
Cobalt;Blue
Coccineous;Red
Moorit;Brown
Topas-coloured;Yellow
Buffy;Yellow
Sunny;Yellow
Vermeiled;Red
Sunburnt;Yellow
Chestnut-red;Red
Ravenish;Black
Herbish;Green
Spinach-green;Green
Purplish-blue;Purple
Rubificative;Red
Flesh-colour;Pink
Bronzine;Brown
Iron;Gray
Blok;Black
Jetty;Black
Verdigris;Green
Violet;Purple
Bigresceous;Red
Flatten;Brown
Mouse-dun;Brown
Sulpho-chromic;Yellow
Brownish;Brown
Butter-nut;Yellow
Ochroid;Yellow
Bistred;Red
Silverish;White
Sallow;Yellow
Sanguine-coloured;Red
Browny;Brown
Cherried;Red
Incarnadined;Red
Smoke;Gray
Mimosa;Yellow
Musk-coloured;Brown
Sandyish;Brown
Yellowed;Yellow
Smoke-brown;Brown
Gris;Gray
Magenta;Purple
Sunnish;Yellow
Off-white;White
Favel;Yellow
Stone-coloured;Gray
Ecru;Brown
Red-brown;Brown
Milk-white;White
Leady;Gray
Charred;Black
Liver;Brown
Leekish;Green
Strawy;Yellow
Bepurfurate;Brown
Corked;Brown
Lilaceous;Purple
Nigrous;Black
Beaver-coloured;Brown
Tuscan-coloured;Brown
